lat,lon,elevation,slope_percent,suitability_score,suitable
35.4108,45.2847,823.0,3.054257994970065,69.45742005029936,True
35.4108,45.2947,838.0,3.1124894249144557,68.87510575085545,True
35.4108,45.3047,845.0,2.032646155046175,79.67353844953826,True
35.4108,45.314699999999995,856.0,5.780337503412561,42.1966249658744,False
35.4108,45.32469999999999,877.0,6.2881782249383695,37.1182177506163,False
35.4108,45.33469999999999,890.0,3.620650963676,63.793490363240004,True
35.4108,45.34469999999999,887.0,4.636974041199087,53.63025958800913,True
35.4108,45.35469999999999,911.0,4.401724757456858,55.98275242543143,True
35.4108,45.364699999999985,951.0,5.780337503412561,42.1966249658744,False
35.4108,45.37469999999998,958.0,7.545813869926042,24.541861300739576,False
35.4108,45.38469999999998,1020.0,7.241301927352,27.586980726480004,False
35.4108,45.39469999999998,1012.0,11.878275968551085,0.0,False
35.4108,45.40469999999998,1084.0,15.054285585810733,0.0,False
35.4108,45.414699999999975,1101.0,19.7628458498063,0.0,False
35.4108,45.42469999999997,1258.0,24.455274052899295,0.0,False
35.4108,45.43469999999997,1216.0,30.812073302198005,0.0,False
35.4108,45.44469999999997,1009.0,18.595041322317748,0.0,False
35.4108,45.45469999999997,873.0,12.21703197988026,0.0,False
35.4108,45.464699999999965,794.0,7.096658282430444,29.033417175695565,False
35.4108,45.47469999999996,753.0,5.33569615699621,46.6430384300379,False
35.4108,45.48469999999996,734.0,5.8438576957577535,41.56142304242246,False
35.4108,45.49469999999996,679.0,4.940711462451575,50.59288537548425,True
35.4108,45.50469999999996,649.0,2.6949335249735866,73.05066475026413,True
35.4108,45.514699999999955,623.0,2.3356090549771085,76.64390945022892,True
35.4108,45.52469999999995,629.0,2.223206732081754,77.76793267918246,True
35.4108,45.53469999999995,632.0,2.8745957599718257,71.25404240028175,True
35.4108,45.54469999999995,648.0,3.6841711560211925,63.15828843978808,True
35.4108,45.55469999999995,653.0,4.761049227453337,52.389507725466636,True
35.4108,45.564699999999945,673.0,3.1440891124691848,68.55910887530816,True
35.4108,45.57469999999994,664.0,2.794888463188491,72.05111536811509,True
35.4108,45.58469999999994,663.0,2.245777937477989,77.54222062522011,True
35.4208,45.2847,789.0,6.10851598994013,38.9148401005987,False
35.4208,45.2947,813.0,5.749191519943651,42.50808480056348,False
35.4208,45.3047,848.0,3.233920229968304,67.66079770031696,True
35.4208,45.314699999999995,866.0,7.276320517428685,27.23679482571315,False
35.4208,45.32469999999999,947.0,7.276320517428685,27.23679482571315,False
35.4208,45.33469999999999,912.0,5.780337503412561,42.1966249658744,False
35.4208,45.34469999999999,925.0,7.006827164931326,29.931728350686736,False
35.4208,45.35469999999999,960.0,10.925473083373191,0.0,False
35.4208,45.364699999999985,974.0,18.929017318867505,0.0,False
35.4208,45.37469999999998,1042.0,20.661157024797497,0.0,False
35.4208,45.38469999999998,1073.0,17.87639238232479,0.0,False
35.4208,45.39469999999998,1134.0,10.959396334892586,0.0,False
35.4208,45.40469999999998,1199.0,15.625967316917471,0.0,False
35.4208,45.414699999999975,1321.0,33.057851239676,0.0,False
35.4208,45.42469999999997,1034.0,25.781530722247314,0.0,False
35.4208,45.43469999999997,873.0,30.812073302198005,0.0,False
35.4208,45.44469999999997,839.0,23.94711251413775,0.0,False
35.4208,45.45469999999997,796.0,13.529800969526104,0.0,False
35.4208,45.464699999999965,776.0,6.161458657483719,38.38541342516282,False
35.4208,45.47469999999996,726.0,5.120373697449815,48.79626302550185,False
35.4208,45.48469999999996,669.0,5.839022637442771,41.60977362557229,False
35.4208,45.49469999999996,642.0,5.8438576957577535,41.56142304242246,False
35.4208,45.50469999999996,622.0,3.620650963676,63.793490363240004,True
35.4208,45.514699999999955,607.0,3.4300903866404204,65.69909613359579,True
35.4208,45.52469999999995,638.0,2.784764642472706,72.15235357527294,True
35.4208,45.53469999999995,664.0,2.8745957599718257,71.25404240028175,True
35.4208,45.54469999999995,673.0,2.9644268774709452,70.35573122529055,True
35.4208,45.55469999999995,706.0,4.761049227453337,52.389507725466636,True
35.4208,45.564699999999945,708.0,3.4936105789856136,65.06389421014387,True
35.4208,45.57469999999994,686.0,2.605102407474467,73.94897592525534,True
35.4208,45.58469999999994,688.0,3.503413582465663,64.96586417534337,True
35.4308,45.2847,857.0,23.176428314772846,0.0,False
35.4308,45.2947,877.0,15.117805778155926,0.0,False
35.4308,45.3047,884.0,7.558902889077963,24.41097110922037,False
35.4308,45.314699999999995,884.0,5.589776926376982,44.10223073623018,False
35.4308,45.32469999999999,921.0,6.097938465138526,39.02061534861474,False
35.4308,45.33469999999999,944.0,6.669620196245263,33.303798037547374,False
35.4308,45.34469999999999,1003.0,7.006827164931326,29.931728350686736,False
35.4308,45.35469999999999,1011.0,13.466280777180911,0.0,False
35.4308,45.364699999999985,1132.0,14.193316564860888,0.0,False
35.4308,45.37469999999998,1272.0,20.661157024797497,0.0,False
35.4308,45.38469999999998,1272.0,17.87639238232479,0.0,False
35.4308,45.39469999999998,1174.0,18.103254818379995,0.0,False
35.4308,45.40469999999998,1096.0,18.595041322317748,0.0,False
35.4308,45.414699999999975,953.0,33.057851239676,0.0,False
35.4308,45.42469999999997,940.0,24.201193283518524,0.0,False
35.4308,45.43469999999997,847.0,11.878275968551085,0.0,False
35.4308,45.44469999999997,778.0,6.198347107439249,38.01652892560752,False
35.4308,45.45469999999997,725.0,7.241301927352,27.586980726480004,False
35.4308,45.464699999999965,714.0,5.569529284945412,44.30470715054587,False
35.4308,45.47469999999996,690.0,5.462736541686596,45.372634583134044,False
